ANIO,ID_PERSONA,LLAVE_ENTIDAD,LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEM),LLAVE_LOCALIDAD,CLAVE_LOCALIDAD_INEGI,ID_VIVIENDA,ID_HOGAR,LLAVE_COBERTURA,LLAVE_CLASEVIVIENDA,LLAVE_SEXO,LLAVE_PARENTESCO,LLAVE_IDENTMADRE,LLAVE_IDENTPADRE,LLAVE_PAIS_NAC,LLAVE_ENTIDAD_NAC,LLAVE_NACIONALIDAD,LLAVE_SERSALUD,LLAVE_AFRODES,LLAVE_REGISNAC,LLAVE_RELIGION,LLAVE_HLENGUA,LLAVE_LENGUAMAT,LLAVE_HESPANOL,LLAVE_ELENGUA,LLAVE_PERTEINDIGENA,LLAVE_ASISESCOLAR,LLAVE_PAIS_ASISESCOLAR,LLAVE_ENTIDAD_ASISESCOLAR,LLAVE_MUNICIPIO_ASISESCOLAR,LLAVE_TIETRASLADO_ESCOLAR,LLAVE_MEDTRASLADO_ESCOLAR,LLAVE_NIVACAD,LLAVE_CARRERA,LLAVE_ALFABETISMO,LLAVE_PAIS_RES5A,LLAVE_ENTIDAD_RES5A,LLAVE_MUNICIPIO_RES5A,LLAVE_CAUSAMIGRACION,LLAVE_SITUACONYUGAL,LLAVE_IDENTPAREJA,LLAVE_ACTPRIMARIA,LLAVE_OCUPACION,LLAVE_SITTRA,LLAVE_ACTECONOMICA,ACTIVIDAD_ECONOMICA_INEGI,LLAVE_PAIS_TRABAJO,LLAVE_ENTIDAD_TRABAJO,LLAVE_MUNICIPIO_TRABAJO,LLAVE_TIETRASLADO_TRABAJO,LLAVE_MEDTRASLADO_TRABAJO,LLAVE_TAMLOC,ESTRATO,UPM,FACTOR_EXP,NUMPERSONA,EDAD,ESCOLARIDAD,ESCOLARIDAD_ACUMULADA,INGRESO,HORAS_TRABAJADAS,HIJOS_NACIDOS,HIJOS_VIVOS,HIJOS_FALLECIDOS,MERCADO_TRABAJO_LOCAL
2000,200000000000000005147,1,17,1,170001,1.0,2000000000000001,2000000000000605.0,0,0,1,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,23,0,1,0,1,71201,2,236,230.0,235,1,17,0,0,4,100101022,3,3,,19.0,6.0,6.0,1929.0,,,,,1
2000,200000000000000005154,1,17,1,170001,1.0,2000000000002444,2000000000000606.0,0,0,1,301,0,0,235,1,0,10,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,1,95103,5,465,464.0,235,1,17,0,0,4,100101022,7,3,,30.0,5.0,5.0,2143.0,54.0,,,,1
2000,200000000000000005162,1,17,1,170001,1.0,2000000000004887,2000000000000607.0,0,0,1,301,0,0,235,1,0,5,0,0,1,2,0,0,0,3,2,601,0,0,0,0,0,0,2,235,1,17,0,9,0,8,0,0,999,,601,0,0,0,0,4,100101022,7,3,,17.0,9.0,,0.0,,,,,1
2000,200000000000000005172,1,17,1,170001,1.0,2000000000007330,2000000000000608.0,0,0,1,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,1,0,1,41102,1,312,311.0,235,1,17,0,0,4,100101022,7,3,,18.0,4.0,4.0,2357.0,54.0,,,,1
2000,200000000000000005179,1,17,1,170001,1.0,2000000000012214,2000000000000610.0,0,0,1,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,3,0,1,235,1,17,0,9,0,1,81605,1,311,310.0,235,1,17,0,0,4,100101022,7,3,,24.0,3.0,9.0,1929.0,53.0,,,,1
2000,200000000000000005186,1,17,1,170001,1.0,2000000000014656,2000000000000611.0,0,0,2,201,0,0,235,1,0,7,0,0,1,2,0,0,0,0,2,601,0,0,0,0,2,0,1,235,1,17,0,1,0,6,0,0,999,,601,0,0,0,0,4,100101022,7,3,,20.0,6.0,6.0,0.0,,2.0,2.0,0.0,1
2000,200000000000000005188,1,17,1,170001,1.0,2000000000017098,2000000000000612.0,0,0,2,301,0,0,235,1,0,7,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101022,7,3,,4.0,,,0.0,,,,,1
2000,200000000000000005194,1,17,1,170001,1.0,2000000000017098,2000000000000612.0,0,0,1,101,0,0,235,1,0,7,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,1,71201,1,236,230.0,235,1,17,0,0,4,100101022,7,3,,36.0,6.0,6.0,3000.0,60.0,,,,1
2000,200000000000000005191,1,17,1,170001,1.0,2000000000017098,2000000000000612.0,0,0,2,301,0,0,235,1,0,7,0,0,1,2,0,0,0,3,1,601,0,0,0,0,2,0,1,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101022,7,3,,10.0,5.0,5.0,0.0,,,,,1
2000,200000000000000005211,1,17,1,170001,1.0,2000000000024424,2000000000000615.0,0,0,2,611,0,0,235,1,0,5,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101022,7,3,,2.0,,,0.0,,,,,1
